怪物id,怪物类型,怪物名称,怪物等级,怪物血条数量,怪物头像,怪物模型,属性,绝对生命值（每次受到伤害只扣除1点生命值）,属性,属性,属性,血条位置,模型百分比,能否被击退,AI类型,心跳
14263,1,黑野猪,41,1,,4561,12468000,0,30,0,0,,,,1,1000
14264,1,红野猪,41,1,,4562,12468000,0,30,0,0,,,,1,1000
14265,1,黑野猪,42,1,,4561,15584000,0,30,0,0,,,,1,1000
14266,1,红野猪,42,1,,4562,15584000,0,30,0,0,,,,1,1000
14267,1,黑野猪,42,1,,4561,18701000,0,30,0,0,,,,1,1000
14268,1,红野猪,42,1,,4562,18701000,0,30,0,0,,,,1,1000
14269,1,黑野猪,43,1,,4561,22441200,0,30,0,0,,,,1,1000
14270,1,红野猪,43,1,,4562,22441200,0,30,0,0,,,,1,1000
14271,1,黑野猪,43,1,,4561,6234000,0,30,0,0,,,,1,1000
14272,1,红野猪,43,1,,4562,6234000,0,30,0,0,,,,1,1000
14273,1,黑野猪,44,1,,4561,13506000,0,30,0,0,,,,1,1000
14274,1,红野猪,44,1,,4562,13506000,0,30,0,0,,,,1,1000
14275,1,黑野猪,44,1,,4561,16883000,0,30,0,0,,,,1,1000
14276,1,红野猪,44,1,,4562,16883000,0,30,0,0,,,,1,1000
14277,1,黑野猪,45,1,,4561,20260000,0,30,0,0,,,,1,1000
14278,1,红野猪,45,1,,4562,20260000,0,30,0,0,,,,1,1000
14279,1,黑野猪,45,1,,4561,24312000,0,30,0,0,,,,1,1000
14280,1,红野猪,45,1,,4562,24312000,0,30,0,0,,,,1,1000
14281,1,黑野猪,46,1,,4561,6753000,0,30,0,0,,,,1,1000
14282,1,红野猪,46,1,,4562,6753000,0,30,0,0,,,,1,1000
14283,1,黑野猪,46,1,,4561,14545000,0,30,0,0,,,,1,1000
14284,1,红野猪,46,1,,4562,14545000,0,30,0,0,,,,1,1000
14285,1,黑野猪,47,1,,4561,18182000,0,30,0,0,,,,1,1000
14286,1,红野猪,47,1,,4562,18182000,0,30,0,0,,,,1,1000
14287,1,黑野猪,47,1,,4561,21818000,0,30,0,0,,,,1,1000
14288,1,红野猪,47,1,,4562,21818000,0,30,0,0,,,,1,1000
14289,1,黑野猪,48,1,,4561,26181600,0,30,0,0,,,,1,1000
14290,1,红野猪,48,1,,4562,26181600,0,30,0,0,,,,1,1000
14291,1,黑野猪,48,1,,4561,7273000,0,30,0,0,,,,1,1000
14292,1,红野猪,48,1,,4562,7273000,0,30,0,0,,,,1,1000
14293,1,黑野猪,49,1,,4561,15584000,0,30,0,0,,,,1,1000
14294,1,红野猪,49,1,,4562,15584000,0,30,0,0,,,,1,1000
14295,1,黑野猪,49,1,,4561,19481000,0,30,0,0,,,,1,1000
14296,1,红野猪,49,1,,4562,19481000,0,30,0,0,,,,1,1000
14297,1,黑野猪,50,1,,4561,23377000,0,30,0,0,,,,1,1000
14298,1,红野猪,50,1,,4562,23377000,0,30,0,0,,,,1,1000
14299,1,黑野猪,50,1,,4561,28052400,0,30,0,0,,,,1,1000
14300,1,红野猪,50,1,,4562,28052400,0,30,0,0,,,,1,1000
14301,1,红野猪,50,1,,4562,30000,0,30,0,0,,,,1,1000
14302,1,红野猪,50,1,,4562,157500,0,30,0,0,,,,1,1000
14303,1,红野猪,50,1,,4562,280800,0,30,0,0,,,,1,1000
14304,1,红野猪,50,1,,4562,561600,0,30,0,0,,,,1,1000
14305,1,红野猪,50,1,,4562,841200,0,30,0,0,,,,1,1000
14306,1,红野猪,50,1,,4562,1122000,0,30,0,0,,,,1,1000
14307,1,红野猪,50,1,,4562,1496400,0,30,0,0,,,,1,1000
14308,1,红野猪,50,1,,4562,2244000,0,30,0,0,,,,1,1000
14309,1,红野猪,50,1,,4562,2992800,0,30,0,0,,,,1,1000
14310,1,红野猪,50,1,,4562,3740400,0,30,0,0,,,,1,1000
14311,1,红野猪,50,1,,4562,5610000,0,30,0,0,,,,1,1000
14312,1,红野猪,50,1,,4562,7480800,0,30,0,0,,,,1,1000
14313,1,红野猪,50,1,,4562,9350400,0,30,0,0,,,,1,1000
14314,1,红野猪,50,1,,4562,11221200,0,30,0,0,,,,1,1000
14315,1,红野猪,50,1,,4562,14961600,0,30,0,0,,,,1,1000
14316,1,红野猪,50,1,,4562,18700800,0,30,0,0,,,,1,1000
14317,1,红野猪,50,1,,4562,22441200,0,30,0,0,,,,1,1000
14318,1,红野猪,50,1,,4562,24312000,0,30,0,0,,,,1,1000
14319,1,红野猪,50,1,,4562,26181600,0,30,0,0,,,,1,1000
14320,1,红野猪,50,1,,4562,28052400,0,30,0,0,,,,1,1000
14321,1,黑野猪,26,1,,4561,7792000,0,30,0,0,,,,1,1000
14322,1,红野猪,26,1,,4562,7792000,0,30,0,0,,,,1,1000
14323,1,黑野猪,26,1,,4561,20779000,0,30,0,0,,,,1,1000
14324,1,红野猪,26,1,,4562,20779000,0,30,0,0,,,,1,1000
14325,1,黑野猪,27,1,,4561,25974000,0,30,0,0,,,,1,1000
14326,1,红野猪,27,1,,4562,25974000,0,30,0,0,,,,1,1000
14327,1,黑野猪,27,1,,4561,31169000,0,30,0,0,,,,1,1000
14328,1,红野猪,27,1,,4562,31169000,0,30,0,0,,,,1,1000
14329,1,黑野猪,28,1,,4561,54545000,0,30,0,0,,,,1,1000
14330,1,红野猪,28,1,,4562,54545000,0,30,0,0,,,,1,1000
14331,1,黑野猪,28,1,,4561,10390000,0,30,0,0,,,,1,1000
14332,1,红野猪,28,1,,4562,10390000,0,30,0,0,,,,1,1000
14333,1,黑野猪,29,1,,4561,31169000,0,30,0,0,,,,1,1000
14334,1,红野猪,29,1,,4562,31169000,0,30,0,0,,,,1,1000
14335,1,黑野猪,29,1,,4561,38961000,0,30,0,0,,,,1,1000
14336,1,红野猪,29,1,,4562,38961000,0,30,0,0,,,,1,1000
14337,1,黑野猪,30,1,,4561,46753000,0,30,0,0,,,,1,1000
14338,1,红野猪,30,1,,4562,46753000,0,30,0,0,,,,1,1000
14339,1,黑野猪,30,1,,4561,81818000,0,30,0,0,,,,1,1000
14340,1,红野猪,30,1,,4562,81818000,0,30,0,0,,,,1,1000
14341,1,黑野猪,31,1,,4561,15584000,0,30,0,0,,,,1,1000
14342,1,红野猪,31,1,,4562,15584000,0,30,0,0,,,,1,1000
14343,1,黑野猪,31,1,,4561,41558000,0,30,0,0,,,,1,1000
14344,1,红野猪,31,1,,4562,41558000,0,30,0,0,,,,1,1000
14345,1,黑野猪,32,1,,4561,51948000,0,30,0,0,,,,1,1000
14346,1,红野猪,32,1,,4562,51948000,0,30,0,0,,,,1,1000
14347,1,黑野猪,32,1,,4561,62338000,0,30,0,0,,,,1,1000
14348,1,红野猪,32,1,,4562,62338000,0,30,0,0,,,,1,1000
14349,1,黑野猪,33,1,,4561,109091000,0,30,0,0,,,,1,1000
14350,1,红野猪,33,1,,4562,109091000,0,30,0,0,,,,1,1000
14351,1,黑野猪,33,1,,4561,20779000,0,30,0,0,,,,1,1000
14352,1,红野猪,33,1,,4562,20779000,0,30,0,0,,,,1,1000
14353,1,黑野猪,34,1,,4561,51948000,0,30,0,0,,,,1,1000
14354,1,红野猪,34,1,,4562,51948000,0,30,0,0,,,,1,1000
14355,1,黑野猪,34,1,,4561,64935000,0,30,0,0,,,,1,1000
14356,1,红野猪,34,1,,4562,64935000,0,30,0,0,,,,1,1000
14357,1,黑野猪,35,1,,4561,77922000,0,30,0,0,,,,1,1000
14358,1,红野猪,35,1,,4562,77922000,0,30,0,0,,,,1,1000
14359,1,黑野猪,35,1,,4561,136364000,0,30,0,0,,,,1,1000
14360,1,红野猪,35,1,,4562,136364000,0,30,0,0,,,,1,1000
14361,1,黑野猪,36,1,,4561,25974000,0,30,0,0,,,,1,1000
14362,1,红野猪,36,1,,4562,25974000,0,30,0,0,,,,1,1000
14363,1,黑野猪,36,1,,4561,62338000,0,30,0,0,,,,1,1000
14364,1,红野猪,36,1,,4562,62338000,0,30,0,0,,,,1,1000
14365,1,黑野猪,37,1,,4561,77922000,0,30,0,0,,,,1,1000
14366,1,红野猪,37,1,,4562,77922000,0,30,0,0,,,,1,1000
14367,1,黑野猪,37,1,,4561,93506000,0,30,0,0,,,,1,1000
14368,1,红野猪,37,1,,4562,93506000,0,30,0,0,,,,1,1000
14369,1,黑野猪,38,1,,4561,163636000,0,30,0,0,,,,1,1000
14370,1,红野猪,38,1,,4562,163636000,0,30,0,0,,,,1,1000
14371,1,黑野猪,38,1,,4561,31169000,0,30,0,0,,,,1,1000
14372,1,红野猪,38,1,,4562,31169000,0,30,0,0,,,,1,1000
14373,1,黑野猪,39,1,,4561,72727000,0,30,0,0,,,,1,1000
14374,1,红野猪,39,1,,4562,72727000,0,30,0,0,,,,1,1000
14375,1,黑野猪,39,1,,4561,90909000,0,30,0,0,,,,1,1000
14376,1,红野猪,39,1,,4562,90909000,0,30,0,0,,,,1,1000
14377,1,黑野猪,40,1,,4561,109091000,0,30,0,0,,,,1,1000
14378,1,红野猪,40,1,,4562,109091000,0,30,0,0,,,,1,1000
14379,1,黑野猪,40,1,,4561,190909000,0,30,0,0,,,,1,1000
14380,1,红野猪,40,1,,4562,190909000,0,30,0,0,,,,1,1000
14381,1,黑野猪,41,1,,4561,36364000,0,30,0,0,,,,1,1000
14382,1,红野猪,41,1,,4562,36364000,0,30,0,0,,,,1,1000
14383,1,黑野猪,41,1,,4561,83117000,0,30,0,0,,,,1,1000
14384,1,红野猪,41,1,,4562,83117000,0,30,0,0,,,,1,1000
14385,1,黑野猪,42,1,,4561,103896000,0,30,0,0,,,,1,1000
14386,1,红野猪,42,1,,4562,103896000,0,30,0,0,,,,1,1000
14387,1,黑野猪,42,1,,4561,124675000,0,30,0,0,,,,1,1000
14388,1,红野猪,42,1,,4562,124675000,0,30,0,0,,,,1,1000
14389,1,黑野猪,43,1,,4561,218182000,0,30,0,0,,,,1,1000
14390,1,红野猪,43,1,,4562,218182000,0,30,0,0,,,,1,1000
14391,1,黑野猪,43,1,,4561,41558000,0,30,0,0,,,,1,1000
14392,1,红野猪,43,1,,4562,41558000,0,30,0,0,,,,1,1000
14393,1,黑野猪,44,1,,4561,103896000,0,30,0,0,,,,1,1000
14394,1,红野猪,44,1,,4562,103896000,0,30,0,0,,,,1,1000
14395,1,黑野猪,44,1,,4561,129870000,0,30,0,0,,,,1,1000
14396,1,红野猪,44,1,,4562,129870000,0,30,0,0,,,,1,1000
14397,1,黑野猪,45,1,,4561,155844000,0,30,0,0,,,,1,1000
14398,1,红野猪,45,1,,4562,155844000,0,30,0,0,,,,1,1000
14399,1,黑野猪,45,1,,4561,272727000,0,30,0,0,,,,1,1000
14400,1,红野猪,45,1,,4562,272727000,0,30,0,0,,,,1,1000
14401,1,黑野猪,46,1,,4561,51948000,0,30,0,0,,,,1,1000
14402,1,红野猪,46,1,,4562,51948000,0,30,0,0,,,,1,1000
14403,1,黑野猪,46,1,,4561,155844000,0,30,0,0,,,,1,1000
14404,1,红野猪,46,1,,4562,155844000,0,30,0,0,,,,1,1000
14405,1,黑野猪,47,1,,4561,194805000,0,30,0,0,,,,1,1000
14406,1,红野猪,47,1,,4562,194805000,0,30,0,0,,,,1,1000
14407,1,黑野猪,47,1,,4561,233766000,0,30,0,0,,,,1,1000
14408,1,红野猪,47,1,,4562,233766000,0,30,0,0,,,,1,1000
14409,1,黑野猪,48,1,,4561,409091000,0,30,0,0,,,,1,1000
14410,1,红野猪,48,1,,4562,409091000,0,30,0,0,,,,1,1000
14411,1,黑野猪,48,1,,4561,77922000,0,30,0,0,,,,1,1000
14412,1,红野猪,48,1,,4562,77922000,0,30,0,0,,,,1,1000
14413,1,黑野猪,49,1,,4561,207792000,0,30,0,0,,,,1,1000
14414,1,红野猪,49,1,,4562,207792000,0,30,0,0,,,,1,1000
14415,1,黑野猪,49,1,,4561,259740000,0,30,0,0,,,,1,1000
14416,1,红野猪,49,1,,4562,259740000,0,30,0,0,,,,1,1000
14417,1,黑野猪,50,1,,4561,311688000,0,30,0,0,,,,1,1000
14418,1,红野猪,50,1,,4562,311688000,0,30,0,0,,,,1,1000
14419,1,黑野猪,50,1,,4561,545455000,0,30,0,0,,,,1,1000
14420,1,红野猪,50,1,,4562,545455000,0,30,0,0,,,,1,1000
20001,2,鹿王,2,1,,4584,139,0,130,0,0,180,150,,,
20002,2,精英稻草人,4,1,,4645,458,0,261,0,0,180,150,,,
20003,2,精英多钩猫,6,1,,4648,510,0,293,0,0,180,150,,,
20004,2,精英半兽战士,8,1,,4549,570,0,327,0,0,180,150,,,
20005,2,精英洞蛆,10,1,,4633,900,0,363,0,0,80,200,,,
20006,2,精英骷髅,12,1,,4660,950,0,386,0,0,180,150,,2,1000
20007,2,精英掷斧骷髅,14,1,,4696,980,0,400,0,0,180,150,,,
20008,2,精英掷斧骷髅,16,1,,4696,1300,0,423,0,0,180,150,,,
20009,2,精英骷髅战士,18,1,,4666,1350,0,457,0,0,180,140,,,
20010,2,精英骷髅战将,20,2,,4665,9000,0,470,0,0,180,130,,,
20011,2,精英森林雪人,21,2,,4685,10000,0,484,0,0,180,120,,,
20012,2,精英食人花,22,2,,4520,11000,0,507,0,0,180,120,,,
20013,2,半兽勇士,23,2,,4503,12000,0,521,0,0,180,140,,,
20014,2,精英掷斧骷髅,24,2,,4696,13000,0,550,0,0,180,150,,,
20015,2,精英骷髅战士,25,2,,4666,14000,0,558,0,0,180,140,,,
20016,2,骷髅精灵,26,2,,4664,15000,0,605,0,0,220,170,,,
20017,2,精英僧侣僵尸,27,2,,4639,16000,0,636,0,0,180,140,,,
20018,2,精英爬行僵尸,28,2,,4705,17000,0,681,0,0,180,130,,,
20019,2,精英爬行僵尸,29,4,,4705,18000,0,731,0,0,180,130,,,
20020,2,精英僧侣僵尸,30,4,,4639,19000,0,781,0,0,180,140,,,
20021,2,精英爬行僵尸,31,4,,4705,20000,0,831,0,0,180,130,,,
20022,2,精英爬行僵尸,32,5,,4705,21000,0,881,0,0,180,130,,,
20023,2,精英僧侣僵尸,33,5,,4639,22000,0,959,0,0,180,140,,,
20024,2,精英爬行僵尸,34,5,,4705,23000,0,1025,0,0,180,130,,,
20025,2,尸王,35,5,,4625,24000,0,1095,0,0,220,110,,,
20026,2,精英威思而小虫,36,5,,4526,25000,0,1175,0,0,120,200,,,
20027,2,精英狼,37,5,,4500,26000,0,1255,0,0,120,150,,,
20028,2,精英巨型多角虫,38,5,,4637,27000,0,1308,0,0,140,120,,,
20029,2,精英巨型蠕虫,39,5,,4572,28000,0,1408,0,0,140,150,,,
20030,2,精英跳跳蜂,40,5,,4525,29000,0,1508,0,0,140,150,,,
20031,2,精英钳虫,41,5,,4516,30000,0,1608,0,0,180,130,,,
20032,2,精英跳跳蜂,42,5,,4525,31000,0,1708,0,0,140,150,,,
20033,2,精英钳虫,43,5,,4516,32000,0,1808,0,0,180,130,,,
20034,2,精英邪恶钳虫,44,5,,4534,33000,0,1903,0,0,180,135,,,
20035,2,精英钳虫,45,5,,4516,34000,0,2003,0,0,180,130,,,
20036,2,精英邪恶钳虫,46,5,,4534,35000,0,2103,0,0,180,135,,,
20037,2,触龙神,47,5,,4603,36000,0,2203,0,0,240,95,,,
20038,2,精英威思而小虫,48,5,,4526,37000,0,2303,0,0,120,200,,,
20039,2,精英狼,49,5,,4500,38000,0,2509,0,0,120,150,,,
20040,2,精英巨型多角虫,50,5,,4637,39000,0,2709,0,0,140,120,,,
20041,2,精英红色恶猪,54,10,,4652,43000,0,3509,0,0,180,130,,,
20042,2,精英黑色恶猪,55,10,,4651,44000,0,3709,0,0,180,130,,,
20043,2,精英蝎蛇,56,10,,4518,45000,0,3909,0,0,140,150,,,
20044,2,精英黑色恶蛆,57,10,,4636,46000,0,4109,0,0,120,150,,,
20045,2,精英蝎蛇,58,10,,4518,47000,0,4309,0,0,140,150,,,
20046,2,精英黑色恶猪,59,10,,4651,48000,0,4509,0,0,180,130,,,
20047,2,精英白色恶猪,60,10,,4631,49000,0,4709,0,0,180,130,,,
20048,2,精英黑色恶猪,61,10,,4651,50000,0,4909,0,0,180,130,,,
20049,2,白猪王,62,10,,4601,51000,0,5109,0,0,240,100,,,
20050,2,精英暗黑战士,63,10,,4501,52000,0,5209,0,0,180,150,,,
20051,2,精英沃玛卫士,64,10,,4528,53000,0,5309,0,0,180,140,,,
20052,2,精英沃玛勇士,65,10,,4529,54000,0,5409,0,0,180,140,,,
20053,2,精英沃玛战将,66,10,,4530,55000,0,5509,0,0,180,110,,,
20054,2,精英火焰沃玛,67,10,,4568,56000,0,5609,0,0,180,110,,,
20055,2,精英沃玛勇士,68,10,,4688,57000,0,5709,0,0,180,120,,,
20056,2,精英沃玛战士,69,10,,4689,58000,0,5809,0,0,180,120,,,
20057,2,精英沃玛护卫,70,10,,4527,59000,0,5909,0,0,180,130,,,
20058,2,沃玛教主,71,10,,4687,60000,0,6009,0,0,220,95,,,
20059,2,精英楔蛾,72,10,,4531,61000,0,6109,0,0,140,150,,,
20060,2,精英角蝇,73,10,,4552,62000,0,6209,0,0,180,150,,,
20061,2,精英祖玛弓箭手,74,10,,4543,63000,0,6309,0,0,180,130,,,
20062,2,精英祖玛雕像,75,10,,4542,64000,0,6409,0,0,180,130,,,
20063,2,精英祖玛卫士,76,15,,4544,65000,0,6509,0,0,180,150,,,
20064,2,精英大老鼠,77,15,,4554,66000,0,6609,0,0,140,150,,,
20065,2,精英祖玛弓箭手,78,15,,4543,67000,0,6709,0,0,180,130,,,
20066,2,精英祖玛雕像,79,15,,4542,68000,0,6809,0,0,180,130,,,
20067,2,祖玛教主,80,15,,4630,69000,0,6909,0,0,240,105,,,
20068,2,精英半兽勇士,81,15,,4503,70000,0,7009,0,0,180,140,,,
20069,2,精英天狼蜘蛛,82,15,,4524,71000,0,7109,0,0,140,150,,,
20070,2,精英花吻蜘蛛,83,15,,4551,72000,0,7209,0,0,140,150,,,
20071,2,精英钢牙蜘蛛,84,15,,4550,73000,0,7309,0,0,100,150,,,
20072,2,精英天狼蜘蛛,85,15,,4524,74000,0,7409,0,0,140,150,,,
20073,2,精英幻影蜘蛛,86,15,,4567,75000,0,7509,0,0,200,100,,,
20074,2,精英黑锷蜘蛛,87,15,,4559,76000,0,7609,0,0,180,150,,,
20075,2,精英花吻蜘蛛,88,15,,4551,77500,0,7881,0,0,140,150,,,
20076,2,精英花吻蜘蛛,89,15,,4566,79000,0,8215,0,0,180,150,,,
20077,2,赤月恶魔,90,15,,4602,80500,0,8549,0,0,210,100,,,
20078,2,精英海龟,91,15,,4507,82000,0,8883,0,0,140,150,,,
20079,2,精英寄居蟹,92,15,,4119,83500,0,9217,0,0,180,150,,,
20080,2,精英金甲蛙,93,15,,4124,85000,0,9551,0,0,140,150,,,
20081,2,精英骷髅锤兵,94,15,,4661,86950,0,9985,0,0,180,120,,,
20082,2,精英骷髅刀斧手,95,15,,4662,88900,0,10419,0,0,180,130,,,
20083,2,精英骷髅弓箭手,96,15,,4663,90850,0,10853,0,0,180,120,,,
20084,2,精英恶灵僵尸,97,15,,4504,92800,0,11287,0,0,180,125,,,
20085,2,精英恶灵尸王,98,15,,4505,94750,0,11721,0,0,180,105,,,
20086,2,精英骷髅长枪兵,99,15,,4579,96700,0,12155,0,0,180,125,,,
20087,2,精英骷髅锤兵,100,15,,4661,98650,0,12589,0,0,180,120,,,
20088,2,精英骷髅刀斧手,101,15,,4575,100600,0,13023,0,0,180,125,,,
20089,2,黄泉教主,102,15,,4537,102550,0,13457,0,0,260,100,,3,
20090,2,精英牛魔祭司,103,15,,4680,104500,0,13891,0,0,180,110,,,
20091,2,精英牛魔将军,104,15,,4681,109700,0,14325,0,0,180,140,,,
20092,2,精英牛魔侍卫,105,15,,4682,114900,0,14759,0,0,180,140,,,
20093,2,精英牛魔斗士,106,20,,4678,120100,0,15193,0,0,180,140,,,
20094,2,精英牛魔战士,107,20,,4512,125300,0,15627,0,0,180,135,,,
20095,2,精英牛魔法师,108,20,,4509,130500,0,16061,0,0,180,110,,,
20096,2,精英牛魔祭司,109,20,,4510,135700,0,16495,0,0,180,110,,,
20097,2,精英牛魔将军,110,20,,4511,140900,0,16929,0,0,180,130,,,
20098,2,牛魔王,111,20,,4683,146100,0,17363,0,0,240,125,,,
20099,2,精英骷髅锤兵,112,20,,4661,151300,0,17797,0,0,180,120,,,
20100,2,精英骷髅刀斧手,113,15,,4662,156500,0,18231,0,0,180,130,,,
20101,2,精英骷髅弓箭手,114,15,,4663,174089,0,18751,0,0,180,120,,,
20102,2,精英恶灵僵尸,115,15,,4504,181239,0,19271,0,0,180,125,,,
20103,2,精英恶灵尸王,116,15,,4505,188389,0,19791,0,0,180,105,,,
20104,2,精英骷髅长枪兵,117,15,,4579,195539,0,20311,0,0,180,125,,,
20105,2,精英骷髅锤兵,118,15,,4661,202689,0,20831,0,0,180,120,,,
20106,2,精英骷髅刀斧手,119,15,,4575,209839,0,21351,0,0,180,125,,,
20107,2,黄泉教主（邪）,120,15,,4656,216989,0,21871,0,0,225,100,,3,
20108,2,精英魔龙破甲兵,121,15,,4676,224139,0,22391,0,0,180,125,,,
20109,2,精英魔龙射手,122,15,,4677,231289,0,22911,0,0,180,130,,,
20110,2,精英魔龙巨蛾,123,15,,4674,238439,0,23431,0,0,180,115,,,
20111,2,精英魔龙力士,124,15,,4638,246889,0,23951,0,0,180,130,,,
20112,2,精英魔龙战将,125,15,,4593,255339,0,24471,0,0,180,130,,,
20113,2,精英魔龙刀兵,126,15,,4587,263789,0,24991,0,0,180,115,,,
20114,2,精英魔龙破甲兵,127,15,,4589,272239,0,25511,0,0,180,120,,,
20115,2,精英魔龙射手,128,15,,4590,280689,0,26031,0,0,180,120,,,
20116,2,魔龙教主,129,15,,4622,289139,0,26551,0,0,260,105,,,
20117,2,精英绿魔蜘蛛,130,15,,4704,297589,0,27071,0,0,180,70,,,
20118,2,精英披甲龙龟,131,15,,4514,306039,0,27591,0,0,180,150,,,
20119,2,精英红魔蜘蛛,132,15,,4703,314489,0,28111,0,0,180,70,,,
20120,2,精英绿魔蜘蛛,133,15,,4704,322939,0,28631,0,0,180,70,,,
20121,2,精英狂热火蜥蜴,134,15,,4580,333989,0,29151,0,0,180,150,,,
20122,2,精英金杖蜘蛛,135,15,,4570,345039,0,29671,0,0,210,110,,,
20123,2,精英巨镰蜘蛛,136,15,,4571,356089,0,30191,0,0,210,110,,,
20124,2,精英圣殿卫士,137,15,,4519,367139,0,30711,0,0,180,120,,,
20125,2,火龙王,138,15,,4606,378189,0,31231,0,0,300,80,,,
20126,2,精英赤狐,139,20,,4553,389239,0,31751,0,0,180,135,,,
20127,2,精英狐月虎虫,140,20,,4564,400289,0,32271,0,0,140,150,,,
20128,2,火尾黑狐王,141,20,,4607,411339,0,32791,0,0,160,120,,,
20129,2,精英素狐,142,20,,4523,422389,0,33311,0,0,180,135,,,
20130,2,精英赤狐,143,20,,4553,433439,0,33831,0,0,180,135,,,
20131,2,金爪赤狐王,144,20,,4608,445789,0,34351,0,0,160,120,,3,
20132,2,精英狐月虎虫,145,20,,4564,458139,0,34871,0,0,140,150,,,
20133,2,精英狐月角虫,146,15,,4565,470489,0,35391,0,0,140,150,,,
20134,2,玉面素狐王,147,15,,4628,482839,0,35911,0,0,230,130,,3,
20135,2,精英骨虾,148,15,,4117,495189,0,36431,0,0,180,125,,,
20136,2,精英龙虾守卫,149,15,,4583,507539,0,36951,0,0,180,95,,,
20137,2,寒荒海兽,150,15,,4604,519889,0,37471,0,0,260,100,,,
20138,2,精英海龟,150,15,,4507,532239,0,37991,0,0,140,150,,,
20139,2,精英龙虾守卫,150,15,,4583,544589,0,38511,0,0,180,95,,,
20140,2,深海巨魔,150,15,,4624,556939,0,39031,0,0,260,100,,,
20141,2,精英寄居蟹,150,15,,4119,569289,0,39551,0,0,180,150,,,
20142,2,精英金甲蛙,150,15,,4124,581639,0,40071,0,0,140,150,,,
20143,2,战舰龙王,150,15,,4118,593989,0,40591,0,0,260,100,,,
20144,2,精英绿魔蜘蛛,150,15,,4704,606339,0,41111,0,0,180,70,,,
20145,2,精英披甲龙龟,150,15,,4514,618689,0,41631,0,0,180,150,,,
20146,2,精英红魔蜘蛛,150,15,,4703,631039,0,42151,0,0,180,70,,,
20147,2,精英绿魔蜘蛛,150,15,,4704,643389,0,42671,0,0,180,70,,,
20148,2,精英狂热火蜥蜴,150,15,,4580,655739,0,43191,0,0,180,150,,,
20149,2,精英金杖蜘蛛,150,15,,4570,668089,0,43711,0,0,210,110,,,
20150,2,精英巨镰蜘蛛,150,15,,4571,680439,0,44231,0,0,210,110,,,
20151,2,精英圣殿卫士,150,15,,4519,689939,0,44631,0,0,180,120,,,
20152,2,雷炎蛛王,150,15,,4610,699439,0,45031,0,0,225,100,,,
20153,2,精英雪域卫士,150,15,,4538,708939,0,45431,0,0,190,140,,,
20154,2,精英雪域战将,150,15,,4539,718439,0,45831,0,0,190,140,,,
20155,2,精英雪域力士,150,15,,4535,727939,0,46231,0,0,190,120,,,
20156,2,精英雪域侍卫,150,15,,4536,737439,0,46631,0,0,190,140,,,
20157,2,精英雪域天将,150,15,,4537,746939,0,47031,0,0,190,140,,,
20158,2,精英雪域力士,150,15,,4690,756439,0,47431,0,0,190,140,,,
20159,2,精英雪域卫士,150,20,,4538,765939,0,47831,0,0,190,140,,,
20160,2,精英雪域战将,150,20,,4539,775439,0,48231,0,0,190,140,,,
20161,2,凛冬教主,150,20,,4612,810329,0,49214,0,0,280,110,,,
20162,2,精英红蛇妖,150,20,,4563,828149,0,49639,0,0,180,120,,,
20163,2,精英三头蛇王,150,20,,4517,845969,0,50064,0,0,180,120,,,
20164,2,精英魔化蝎蛇,150,20,,4585,863789,0,50489,0,0,180,120,,,
20165,2,精英白蛇妖,150,20,,4547,881609,0,50914,0,0,190,120,,,
20166,2,精英魔化蝎蛇,150,15,,4585,899429,0,51339,0,0,180,120,,,
20167,2,精英三头蛇王,150,15,,4517,917249,0,51764,0,0,180,120,,,
20168,2,精英 千年树妖,150,15,,4515,935069,0,52189,0,0,380,100,,,
20169,2,精英红蛇妖,150,15,,4563,952889,0,52614,0,0,180,120,,,
20170,2,魔化巫妖王,150,15,,4614,970709,0,53039,0,0,400,100,,,
20171,2,精英雪域卫士,150,15,,4538,988529,0,53464,0,0,190,140,,,
20172,2,精英雪域战将,150,15,,4539,1006349,0,53889,0,0,190,140,,,
20173,2,精英雪域力士,150,15,,4535,1024169,0,54314,0,0,190,120,,,
20174,2,精英雪域侍卫,150,15,,4536,1041989,0,54739,0,0,190,140,,,
20175,2,精英雪域天将,150,15,,4537,1059809,0,55164,0,0,190,140,,,
20176,2,精英雪域力士,150,15,,4690,1077629,0,56128,0,0,190,140,,,
20177,2,精英雪域卫士,150,15,,4538,1095449,0,57092,0,0,190,140,,,
20178,2,精英雪域战将,150,15,,4539,1113269,0,58056,0,0,190,140,,,
20179,2,雪域魔王,150,15,,4691,1131089,0,59020,0,0,245,120,,,
20180,2,精英恶魔弓箭手,150,15,,4557,1148909,0,59984,0,0,140,120,,,
20181,2,精英恶魔弓箭手,150,15,,4557,1166729,0,60948,0,0,140,120,,,
20182,2,精英恶魔弓箭手,150,15,,4557,1184549,0,61912,0,0,140,120,,,
20183,2,精英魔神修罗,150,15,,4594,1202369,0,62876,0,0,220,120,,,
20184,2,精英暗影修罗,150,15,,4502,1220189,0,63840,0,0,190,120,,,
20185,2,精英黑袍修罗,150,15,,4560,1238009,0,64804,0,0,190,120,,,
20186,2,精英魔神修罗,150,15,,4594,1255829,0,65768,0,0,220,120,,,
20187,2,精英虹魔猪卫,150,15,,4655,1273649,0,66732,0,0,180,130,,,
20188,2,阿修罗神,150,15,,4619,1291469,0,67696,0,0,280,110,,3,
